StarID,Hip,HD,HR,Gliese,BayerFlamsteed,ProperName,RA,Dec,Distance,Mag,AbsMag,Spectrum,ColorIndex
23440,32349,48915,2491,Gl 244  A,  9Alp CMa,Sirius,6.7525694,-16.71314306,2.6370612589,-1.43,1.4643989071,A0m...      ,0.009
21936,30438,45348,2326,,   Alp Car,Canopus,6.39919184,-52.69571799,95.8772770853,-0.62,-5.5285784579,F0Ib        ,0.164
50628,69673,124897,5340,Gl 541   , 16Alp Boo,Arcturus,14.2612076,19.18726997,11.2549240293,-0.1,-0.3567128393,K2IIIp      ,1.239
51926,71683,128620,5459,Gl 559  A,   Alp1Cen,Rigel Kentaurus A,14.66136068,-60.83514707,1.3474909718,0.01,4.3623706795,G2V         ,0.71
65795,91262,172167,7001,Gl 721   ,  3Alp Lyr,Vega,18.61560722,38.78299311,7.7561467463,0.03,0.5817699133,A0Vvar      ,-0.001
17301,24436,34085,1713,, 19Bet Ori,Rigel,5.24229756,-8.20163919,236.9668246446,0.18,-6.6934377452,B8Ia        ,-0.03
27267,37279,61421,2943,Gl 280  A, 10Alp CMi,Procyon,7.65514946,5.22750767,3.4973594936,0.38,2.6612986213,F5IV-V      ,0.432
5297,7588,10144,472,,   Alp Eri,Achernar,1.62854213,-57.23666007,44.0917107584,0.45,-2.7717847489,B3Vp        ,-0.158
19984,27989,39801,2061,, 58Alp Ori,Betelgeuse,5.91952477,7.40703634,131.0615989515,0.45,-5.1373773102,M2Ib        ,1.5
49969,68702,122451,5267,,   Bet Cen,Hadar,14.06373459,-60.3729784,161.0305958132,0.61,-5.4245419991,B1III       ,-0.231
17425,24608,34029,1708,Gl 194  A, 13Alp Aur,Capella,5.27813767,45.99902927,12.9382843835,0.71,0.1506165365,M1: comp    ,0.795
44632,60718,108248,4730,,   Alp1Cru,Acrux,12.44331705,-63.09905586,98.3284169125,0.77,-4.1933952354,B0.5IV      ,-0.243
70683,97649,187642,7557,Gl 768   , 53Alp Aql,Altair,19.84630057,8.86738491,5.1429746966,0.77,2.213928062,A7IV-V      ,0.221
15108,21421,29139,1457,Gl 171.1A, 87Alp Tau,Aldebaran,4.59866679,16.50976164,19.9640646836,0.85,-0.6512448416,K5III       ,1.538
86179,0, ,-0,Gl 194  B,-0, ,5.2778513412,46.0067085932,12.9382843835,0.96,0.4006165365,  G0 III    , 
47773,65474,116658,5056,, 67Alp Vir,Spica,13.41989015,-11.16124491,80.38585209,0.98,-3.5458980982,B1V         ,-0.235
58094,80763,148478,6134,, 21Alp Sco,Antares,16.49012986,-26.43194608,185.1851851852,1.06,-5.2780312009,M1Ib + B2.5V,1.865
